Tanggal,Saham_BBCA
27/10/2025,8350
24/10/2025,8275
23/10/2025,8325
22/10/2025,8200
21/10/2025,8475
20/10/2025,7875
17/10/2025,7500
16/10/2025,7300
15/10/2025,7250
14/10/2025,7250
13/10/2025,7325
10/10/2025,7400
9/10/2025,7550
8/10/2025,7375
7/10/2025,7575
6/10/2025,7500
3/10/2025,7525
2/10/2025,7500
1/10/2025,7500
30/09/2025,7625
29/09/2025,7775
26/09/2025,7625
25/09/2025,7700
24/09/2025,7775
23/09/2025,7875
22/09/2025,7725
19/09/2025,7800
18/09/2025,7700
17/09/2025,7850
16/09/2025,7925
15/09/2025,8025
12/9/2025,7925
11/9/2025,7850
10/9/2025,7800
9/9/2025,7525
8/9/2025,7700
4/9/2025,8000
3/9/2025,7975
2/9/2025,8000
1/9/2025,8000
29/08/2025,8075
28/08/2025,8325
27/08/2025,8300
26/08/2025,8250
25/08/2025,8475
22/08/2025,8450
21/08/2025,8550
20/08/2025,8525
19/08/2025,8500
15/08/2025,8700
14/08/2025,8775
13/08/2025,8925
12/8/2025,8850
11/8/2025,8550
8/8/2025,8300
7/8/2025,8300
6/8/2025,8300
5/8/2025,8425
4/8/2025,8275
1/8/2025,8300
31/07/2025,8275
30/07/2025,8375
29/07/2025,8400
28/07/2025,8500
25/07/2025,8450
24/07/2025,8500
23/07/2025,8425
22/07/2025,8400
21/07/2025,8450
18/07/2025,8425
17/07/2025,8525
16/07/2025,8525
15/07/2025,8550
14/07/2025,8525
11/7/2025,8625
10/7/2025,8600
9/7/2025,8500
8/7/2025,8500
7/7/2025,8625
4/7/2025,8650
3/7/2025,8600
2/7/2025,8675
1/7/2025,8700
30/06/2025,8675
26/06/2025,8650
25/06/2025,8600
24/06/2025,8775
23/06/2025,8625
20/06/2025,8700
19/06/2025,8775
18/06/2025,8900
17/06/2025,9075
16/06/2025,8925
13/06/2025,9025
12/6/2025,9125
11/6/2025,9050
10/6/2025,9100
5/6/2025,8925
4/6/2025,8975
3/6/2025,9050
2/6/2025,9100
28/05/2025,9400
27/05/2025,9450
26/05/2025,9625
23/05/2025,9675
22/05/2025,9650
21/05/2025,9700
20/05/2025,9475
19/05/2025,9500
16/05/2025,9300
15/05/2025,9275
14/05/2025,9275
9/5/2025,9000
8/5/2025,8975
7/5/2025,9075
6/5/2025,9025
5/5/2025,8975
2/5/2025,8975
30/04/2025,8825
29/04/2025,8725
28/04/2025,8775
25/04/2025,8600
24/04/2025,8475
23/04/2025,8725
22/04/2025,8500
21/04/2025,8300
17/04/2025,8500
16/04/2025,8475
15/04/2025,8575
14/04/2025,8400
11/4/2025,8275
10/4/2025,8225
9/4/2025,7925
8/4/2025,7775
27/03/2025,8500
26/03/2025,8525
25/03/2025,8050
24/03/2025,7950
21/03/2025,7900
20/03/2025,8375
19/03/2025,8325
18/03/2025,8300
17/03/2025,8600
14/03/2025,8750
13/03/2025,8975
12/3/2025,9125
11/3/2025,8925
10/3/2025,8925
7/3/2025,8925
6/3/2025,8975
5/3/2025,9000
4/3/2025,8850
3/3/2025,8800
28/02/2025,8425
27/02/2025,8525
26/02/2025,8775
25/02/2025,8825
24/02/2025,8925
21/02/2025,9000
20/02/2025,9000
19/02/2025,8950
18/02/2025,9300
17/02/2025,9325
14/02/2025,8975
13/02/2025,9000
12/2/2025,9150
11/2/2025,9075
10/2/2025,9150
7/2/2025,9350
6/2/2025,8950
5/2/2025,9125
4/2/2025,9175
3/2/2025,9350
31/01/2025,9450
30/01/2025,9150
24/01/2025,9350
23/01/2025,9600
22/01/2025,9600
21/01/2025,9575
20/01/2025,9625
17/01/2025,9900
16/01/2025,9750
15/01/2025,9800
14/01/2025,9525
13/01/2025,9675
10/1/2025,9725
